-----------------------------------------------------------------------------------------------------------------------------------------------------
Name                              MW       Cp@298K        H@298K        G@298K        S@298K      Cp@1000K       H@1000K       G@1000K       S@1000K 
NC10H22                     142.2860       55.9707      -59.8484     -100.4216      136.1518      128.1958        9.1125     -237.1385      246.2510
NC11H24                     156.3130       62.3045      -65.0870     -107.2525      141.4949      141.5051       11.3756     -252.2787      263.6544
NC12H26                     170.3400       66.8704      -69.7100     -115.8960      154.9863      152.8539       12.6070     -273.8301      286.4372
C2H4                         28.0540       10.2459       12.5449       -3.0728       52.4085       22.4874       24.6481      -47.1216       71.7697
C3H6                         42.0810       15.2027        6.2443      -12.7244       63.6535       34.4393       24.6460      -68.3916       93.0377
C4H8-1                       56.1080       20.4694       -0.1131      -22.0458       73.5997       46.9945       25.1344      -88.7671      113.9016
NC5H10                       70.1350       25.6638       -7.9838      -32.4726       82.1771       58.9332       23.5990     -108.9787      132.5778
NC6H12                       84.1620       31.6068       -9.9673      -37.3679       91.9484       71.5333       28.5787     -124.9427      153.5213
NC7H14                       98.1890       36.5362      -17.8455      -47.9469      101.0116       83.5969       27.0972     -145.6694      172.7665
NC8H16                      112.2160       53.8011      -30.0951      -69.0776      130.8138      121.5419       35.6640     -200.2554      235.9195
NC9H18                      126.2430       59.3508      -35.1006      -76.9532      140.4450      134.0228       37.4503     -218.9658      256.4161
NC10H20                     140.2700       52.6467      -32.4679      -72.4039      134.0135      120.7579       32.5523     -205.2694      237.8217
NC11H22                     154.2970       70.4501      -45.1118      -92.7046      159.7073      158.9847       41.0228     -256.3865      297.4093
NC12H24                     168.3240       75.9998      -50.1174     -100.5803      169.3384      171.4657       42.8090     -275.0969      317.9059
C4H6                         54.0920       17.7303       26.4845        5.5973       70.0911       39.1440       47.7003      -56.3474      104.0477
LC5H8                        68.1190       25.2066       18.0586       -3.0597       70.8668       52.4544       46.8965      -70.3674      117.2638
DIALLYL                      82.1460       28.7984       20.0957       -5.9154       87.2855       64.1132       54.9326      -88.1192      143.0518
NC7H12                       96.1730       56.3970       -5.1142      -45.8331      136.6405      126.5405       63.5249     -182.8983      246.4232
NC8H14                      110.2000       61.9467      -10.1198      -53.7088      146.2716      139.0215       65.3111     -201.6087      266.9198
NC9H16                      124.2270       67.4964      -15.1254      -61.5844      155.9027      151.5024       67.0974     -220.3190      287.4164
NC10H18                     138.2540       73.0461      -20.1310      -69.4601      165.5339      163.9834       68.8836     -239.0294      307.9130
NC11H20                     152.2810       78.5958      -25.1366      -77.3358      175.1650      176.4643       70.6699     -257.7398      328.4096
NC12H22                     166.3080       84.1454      -30.1422      -85.2115      184.7962      188.9453       72.4561     -276.4501      348.9062
NC16H34                     226.4480       88.6710      -89.4333     -146.8446      192.6554      202.1707       19.5961     -347.2135      366.8097
NC30H62                     422.8260      167.7484     -160.1932     -256.8902      324.4866      378.6432       45.3143     -607.7756      653.0899
NC45H92                     633.2310      250.9935     -235.2771     -375.0253      468.9537      565.8574       72.1079     -888.4311      960.5390
NC60H122                    843.6360      334.2387     -310.3609     -493.1603      613.4209      753.0717       98.9016    -1169.0865     1267.9881
NC16H32                     224.4320       98.1985      -70.1398     -132.0829      207.8630      221.3895       49.9540     -349.9383      399.8923
NC30H60                     420.8100      175.8940     -140.2180     -242.3423      342.6990      396.1228       74.9614     -611.8834      686.8448
NC45H90                     631.2150      259.1392     -215.3019     -360.4774      487.1661      583.3370      101.7550     -892.5389      994.2939
NC60H120                    841.6200      342.3844     -290.3857     -478.6124      631.6332      770.5513      128.5487    -1173.1943     1301.7430
NC16H30                     222.4160      106.3442      -50.1645     -116.7141      223.3207      238.8691       79.6011     -351.2916      430.8927
NC30H58                     418.7940      184.0397     -120.2428     -226.9735      358.1567      413.6024      104.6085     -613.2367      717.8452
NC45H88                     629.1990      267.2848     -195.3266     -345.1086      502.6239      600.8166      131.4022     -893.8921     1025.2943
NC60H118                    839.6040      350.5300     -270.4105     -463.2436      647.0910      788.0309      158.1958    -1174.5475     1332.7433
NC16H33                     225.4400       87.0786      -43.0831     -101.8177      197.0962      197.8407       63.5989     -303.9269      367.5258
NC30H61                     421.8180      166.3681     -114.1199     -211.5906      327.0829      374.2357       89.1816     -563.0657      652.2473
NC45H91                     632.2230      249.6133     -189.2037     -329.7256      471.5501      561.4499      115.9753     -843.7211      959.6964
NC60H121                    842.6280      332.8585     -264.2876     -447.8607      616.0172      748.6642      142.7689    -1124.3766     1267.1455
NC16H33_T                   225.4400       89.1344      -40.9301      -98.0255      191.5950      200.2814       67.9778     -297.8167      365.7945
NC30H61_T                   421.8180      166.8299     -111.0084     -208.2848      326.4310      375.0147       92.9852     -559.7618      652.7470
NC45H91_T                   632.2230      250.0751     -186.0922     -326.4199      470.8981      562.2290      119.7788     -840.4172      960.1961
NC60H121_T                  842.6280      333.3203     -261.1761     -444.5549      615.3653      749.4432      146.5725    -1121.0727     1267.6452
NC16H31                     223.4240       96.8183      -24.0664      -86.7833      210.4593      216.9820       93.8213     -305.2284      399.0497
NC30H59                     419.8020      174.5138      -94.1447     -197.0427      345.2953      391.7153      118.8287     -567.1735      686.0022
NC45H89                     630.2070      257.7590     -169.2285     -315.1777      489.7624      578.9295      145.6224     -847.8289      993.4513
NC60H119                    840.6120      341.0042     -244.3123     -433.3128      634.2296      766.1438      172.4160    -1128.4844     1300.9004
NC16H31_T                   223.4240       97.2801      -20.9549      -83.4775      209.8073      217.7610       97.6249     -301.9245      399.5494
NC30H59_T                   419.8020      174.9756      -91.0332     -193.7369      344.6433      392.4943      122.6323     -563.8696      686.5019
NC45H89_T                   630.2070      258.2207     -166.1170     -311.8719      489.1105      579.7086      149.4260     -844.5250      993.9510
NC60H119_T                  840.6120      341.4659     -241.2009     -430.0070      633.5776      766.9228      176.2196    -1125.1805     1301.4001
NC16H31_A                   223.4240       96.2556      -36.6408      -97.2720      203.4607      218.7031       82.0273     -311.0675      393.0948
NC30H59_A                   419.8020      173.9511     -106.7190     -207.5314      338.2967      393.4364      107.0348     -573.0126      680.0473
NC45H89_A                   630.2070      257.1962     -181.8028     -325.6665      482.7639      580.6506      133.8284     -853.6680      987.4964
NC60H119_A                  840.6120      340.4414     -256.8867     -443.8015      627.2310      767.8649      160.6221    -1134.3234     1294.9455
NC16H29                     221.4080      104.9640       -4.0912      -71.4145      225.9171      234.4616      123.4684     -306.5816      430.0501
NC30H57                     417.7860      182.6595      -74.1694     -181.6739      360.7531      409.1949      148.4758     -568.5267      717.0026
NC45H87                     628.1910      265.9046     -149.2533     -299.8089      505.2202      596.4091      175.2695     -849.1822     1024.4516
NC60H117                    838.5960      349.1498     -224.3371     -417.9440      649.6873      783.6234      202.0631    -1129.8376     1331.9007
NC16H29_A                   221.4080      104.4012      -16.6655      -81.9032      218.9185      236.1827      111.6745     -312.4207      424.0952
NC30H57_A                   417.7860      182.0967      -86.7438     -192.1626      353.7545      410.9160      136.6819     -574.3658      711.0477
NC45H87_A                   628.1910      265.3419     -161.8276     -310.2977      498.2216      598.1302      163.4755     -855.0212     1018.4968
NC60H117_A                  838.5960      348.5871     -236.9115     -428.4327      642.6888      785.3445      190.2692    -1135.6767     1325.9459
P-HDPE-P_S(L)               561.0800      217.7377     -283.6055     -349.2426      220.2584      671.9615       84.8552     -708.8034      793.6586
P-HDPE-P(L)                 561.0800      285.9902     -247.6590     -349.5762      342.0041      497.9100       32.9589     -766.9781      799.9370
P-NC40H79-P(L)              560.0720      285.7929     -201.5938     -300.3354      331.3475      493.2925       77.0989     -709.4529      786.5518
P-NC40H81(L)                562.0880      287.8656     -252.0907     -308.2128      188.3292      499.8419       29.6821     -618.5990      648.2812
P-NC40H79(L)                560.0720      304.2721     -234.6947     -294.5451      200.8404      516.9159       58.0103     -621.6162      679.6265
P-NC40H80(L)                561.0800      287.6683     -206.0256     -258.9720      177.6726      495.2244       73.8222     -561.0738      634.8960
P-NC40H80_T(L)              561.0800      287.7750     -202.9096     -257.8485      184.3587      496.1088       77.5191     -564.9369      642.4560
P-NC40H78(L)                559.0640      304.0748     -188.6295     -245.3043      190.1839      512.2984      102.1504     -564.0910      666.2414
P-NC40H78_A(L)              559.0640      303.9668     -201.2001     -257.7647      189.8142      514.0803       90.3500     -576.5726      666.9226
NC16H34(L)                  226.4480      119.3671     -109.3631     -155.4394      154.6187      203.9099       20.3069     -345.8305      366.1374
NC30H62(L)                  422.8260      218.8566     -195.1948     -274.1378      264.9096      378.6432       45.3143     -607.7756      653.0899
NC45H92(L)                  633.2310      325.5043     -287.2088     -401.6635      384.0761      565.8574       72.1079     -888.4311      960.5390
NC60H122(L)                 843.6360      432.3999     -379.2229     -529.3640      503.8291      753.0717       98.9016    -1169.0865     1267.9881
NC16H32(L)                  224.4320      136.4247      -93.7891     -142.8407      164.6026      221.3895       49.9540     -349.9383      399.8923
NC30H60(L)                  420.8100      235.7154     -177.7914     -260.5621      277.7543      396.1228       74.9614     -611.8834      686.8448
NC45H90(L)                  631.2150      342.3920     -269.8054     -388.1190      397.0253      583.3370      101.7550     -892.5389      994.2939
NC60H120(L)                 841.6200      449.2436     -361.8195     -515.8328      516.8231      770.5513      128.5487    -1173.1943     1301.7430
NC16H30(L)                  222.4160      153.4621      -78.2459     -129.4508      171.8286      238.8691       79.6011     -351.2916      430.8927
NC30H58(L)                  418.7940      252.5674     -160.3880     -246.1786      287.8880      413.6024      104.6085     -613.2367      717.8452
NC45H88(L)                  629.1990      359.2455     -252.4020     -373.7637      407.2538      600.8166      131.4022     -893.8921     1025.2943
NC60H118(L)                 839.6040      466.1538     -344.4161     -501.4974      527.1183      788.0309      158.1958    -1174.5475     1332.7433
NC16H33(L)                  225.4400      119.4209      -63.5842     -110.2094      156.4603      199.5024       64.1742     -301.1206      365.2948
NC30H61(L)                  421.8180      218.8713     -149.1225     -228.7198      267.1051      374.2357       89.1816     -563.0657      652.2473
NC45H91(L)                  632.2230      325.5327     -241.1365     -356.2392      386.2504      561.4499      115.9753     -843.7211      959.6964
NC60H121(L)                 842.6280      432.4433     -333.1506     -483.9357      505.9901      748.6642      142.7689    -1124.3766     1267.1455
NC16H33_T(L)                225.4400      119.3998      -60.3553     -106.8750      156.1064      200.2814       67.9778     -297.8167      365.7945
NC30H61_T(L)                421.8180      218.8679     -146.0108     -225.4605      266.6095      375.0147       92.9852     -559.7618      652.7470
NC45H91_T(L)                632.2230      325.5232     -238.0249     -352.9822      385.7628      562.2290      119.7788     -840.4172      960.1961
NC60H121_T(L)               842.6280      432.4273     -330.0390     -480.6803      505.5076      749.4432      146.5725    -1121.0727     1267.6452
NC16H31(L)                  223.4240      136.4757      -48.0110      -97.6112      166.4438      216.9820       93.8213     -305.2284      399.0497
NC30H59(L)                  419.8020      235.7302     -131.7191     -215.1496      279.9681      391.7153      118.8287     -567.1735      686.0022
NC45H89(L)                  630.2070      342.4207     -223.7331     -342.6981      399.2112      578.9295      145.6224     -847.8289      993.4513
NC60H119(L)                 840.6120      449.2877     -315.7472     -470.4082      518.9967      766.1438      172.4160    -1128.4844     1300.9004
NC16H31_T(L)                223.4240      136.4560      -44.7818      -94.2766      166.0901      217.7610       97.6249     -301.9245      399.5494
NC30H59_T(L)                419.8020      235.7268     -128.6074     -211.8880      279.4649      392.4943      122.6323     -563.8696      686.5019
NC45H89_T(L)                630.2070      342.4111     -220.6215     -339.4388      398.7156      579.7086      149.4260     -844.5250      993.9510
NC60H119_T(L)               840.6120      449.2714     -312.6356     -467.1506      518.5067      766.9228      176.2196    -1125.1805     1301.4001
NC16H31_A(L)                223.4240      136.4163      -60.5761     -108.0916      159.4478      218.7031       82.0273     -311.0675      393.0948
NC30H59_A(L)                419.8020      235.6808     -144.2958     -225.6359      272.9533      393.4364      107.0348     -573.0126      680.0473
NC45H89_A(L)                630.2070      342.3637     -236.3099     -353.1840      392.1949      580.6506      133.8284     -853.6680      987.4964
NC60H119_A(L)               840.6120      449.2196     -328.3240     -480.8940      511.9798      767.8649      160.6221    -1134.3234     1294.9455
NC16H29(L)                  221.4080      153.5104      -32.4684      -84.2219      173.6694      234.4616      123.4684     -306.5816      430.0501
NC30H57(L)                  417.7860      252.5823     -114.3157     -200.7631      290.0920      409.1949      148.4758     -568.5267      717.0026
NC45H87(L)                  628.1910      359.2749     -206.3298     -328.3433      409.4415      596.4091      175.2695     -849.1822     1024.4516
NC60H117(L)                 838.5960      466.1981     -298.3438     -456.0734      529.2937      783.6234      202.0631    -1129.8376     1331.9007
NC16H29_A(L)                221.4080      153.4514      -45.0332      -94.7020      166.6738      236.1827      111.6745     -312.4207      424.0952
NC30H57_A(L)                417.7860      252.5328     -126.8924     -211.2497      283.0779      410.9160      136.6819     -574.3658      711.0477
NC45H87_A(L)                628.1910      359.2175     -218.9065     -338.8294      402.4257      598.1302      163.4755     -855.0212     1018.4968
NC60H117_A(L)               838.5960      466.1298     -310.9206     -466.5592      522.2771      785.3445      190.2692    -1135.6767     1325.9459
-----------------------------------------------------------------------------------------------------------------------------------------------------

 ====================================================================================================
   THERMO TABLE FOR MOLECULE N2
 ====================================================================================================
   Elemental Composition:
     N 2.0000
   Formation Enthalpy at 298K =          -0.0010 kcal/mol
   Formation Free Gibbs Energy at 298K = -13.6455 kcal/mol
   Molecular Weight =                    28.0140 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      6.9604        0.0129        -13.7372      45.8335       0.0139        -0.0916       
     600.0000      7.1917        2.1263        -28.2983      50.7077       2.1274        -14.6528      
     800.0000      7.5111        3.5955        -38.6595      52.8187       3.5965        -25.0140      
     1000.0000     7.8072        5.1295        -49.3995      54.5290       5.1305        -35.7540      
     1200.0000     8.0375        6.7147        -60.4535      55.9734       6.7157        -46.8079      
     1400.0000     8.2274        8.3418        -71.7762      57.2272       8.3428        -58.1307      
     1600.0000     8.3824        10.0033       -83.3347      58.3363       10.0043       -69.6892      
     1800.0000     8.5073        11.6927       -95.1031      59.3310       11.6938       -81.4576      
     2000.0000     8.6068        13.4045       -107.0609     60.2327       13.4056       -93.4154      
     2200.0000     8.6851        15.1340       -119.1911     61.0569       15.1351       -105.5455     
     2400.0000     8.7461        16.8774       -131.4793     61.8153       16.8784       -117.8338     
     2600.0000     8.7934        18.6315       -143.9134     62.5173       18.6326       -130.2679     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE HE
 ====================================================================================================
   Elemental Composition:
     HE 1.0000
   Formation Enthalpy at 298K =          -0.0007 kcal/mol
   Formation Free Gibbs Energy at 298K = -8.9842 kcal/mol
   Molecular Weight =                    4.0030 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      4.9675        0.0092        -9.0445       30.1789       0.0099        -0.0603       
     600.0000      4.9675        1.4994        -18.6738      33.6221       1.5002        -9.6897       
     800.0000      4.9675        2.4929        -25.5480      35.0512       2.4937        -16.5638      
     1000.0000     4.9675        3.4864        -32.6732      36.1596       3.4872        -23.6890      
     1200.0000     4.9675        4.4799        -39.9984      37.0653       4.4807        -31.0143      
     1400.0000     4.9675        5.4734        -47.4900      37.8310       5.4742        -38.5059      
     1600.0000     4.9675        6.4669        -55.1240      38.4944       6.4677        -46.1399      
     1800.0000     4.9675        7.4604        -62.8826      39.0795       7.4612        -53.8984      
     2000.0000     4.9675        8.4539        -70.7517      39.6028       8.4547        -61.7676      
     2200.0000     4.9675        9.4475        -78.7204      40.0763       9.4482        -69.7362      
     2400.0000     4.9675        10.4410       -86.7795      40.5085       10.4417       -77.7953      
     2600.0000     4.9675        11.4345       -94.9215      40.9061       11.4352       -85.9373      
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE P-HDPE-P_S
 ====================================================================================================
   Elemental Composition:
     C 40.0000
     H 80.0000
   Formation Enthalpy at 298K =          -283.6055 kcal/mol
   Formation Free Gibbs Energy at 298K = -349.2426 kcal/mol
   Molecular Weight =                    561.0800 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      219.7796      -283.1680     -349.6845     221.7217      0.4375        -0.4420       
     600.0000      530.7013      -169.2239     -452.6411     472.3620      114.3816      -103.3985     
     800.0000      652.6717      -49.1552      -564.5317     644.2206      234.4503      -215.2892     
     1000.0000     671.9615      84.8552       -708.8034     793.6586      368.4607      -359.5608     
     1200.0000     632.0857      215.5407      -879.9484     912.9077      499.1463      -530.7059     
     1400.0000     641.4727      340.8294      -1072.4184    1009.4627     624.4349      -723.1758     
     1600.0000     873.4651      486.8259      -1283.7369    1106.6018     770.4315      -934.4943     
     1800.0000     1566.3190     720.7952      -1517.6804    1243.5976     1004.4008     -1168.4379    
     2000.0000     3023.2042     1164.1447     -1787.4882    1475.8165     1447.7502     -1438.2457    
     2200.0000     5612.2046     2005.4070     -2119.0867    1874.7699     2289.0126     -1769.8442    
     2400.0000     9766.3174     3513.2231     -2554.3216    2528.1436     3796.8286     -2205.0790    
     2600.0000     15983.4538    6049.3246     -3154.1947    3539.8151     6332.9302     -2804.9521    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE P-HDPE-P
 ====================================================================================================
   Elemental Composition:
     C 40.0000
     H 80.0000
   Formation Enthalpy at 298K =          -247.6590 kcal/mol
   Formation Free Gibbs Energy at 298K = -349.5762 kcal/mol
   Molecular Weight =                    561.0800 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      286.6829      -247.0863     -350.2621     343.9194      0.5727        -0.6859       
     600.0000      388.2851      -145.6449     -490.1912     574.2439      102.0140      -140.6151     
     800.0000      448.2301      -61.8438      -617.3401     694.3704      185.8151      -267.7640     
     1000.0000     497.9100      32.9589       -766.9781     799.9370      280.6178      -417.4020     
     1200.0000     535.8623      136.5344      -936.5680     894.2520      384.1933      -586.9918     
     1400.0000     562.3979      246.5387      -1124.0412    978.9856      494.1977      -774.4650     
     1600.0000     579.6007      360.8674      -1327.6006    1055.2925     608.5263      -978.0244     
     1800.0000     591.3278      478.0100      -1545.6689    1124.2661     725.6690      -1196.0927    
     2000.0000     603.2096      597.4049      -1776.9006    1187.1527     845.0638      -1427.3244    
     2200.0000     622.6495      719.7938      -2020.2242    1245.4627     967.4527      -1670.6480    
     2400.0000     658.8241      847.5764      -2274.9022    1301.0327     1095.2354     -1925.3260    
     2600.0000     722.6831      985.1651      -2540.6005    1356.0637     1232.8241     -2191.0243    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE P-NC40H79-P
 ====================================================================================================
   Elemental Composition:
     C 40.0000
     H 79.0000
   Formation Enthalpy at 298K =          -201.5938 kcal/mol
   Formation Free Gibbs Energy at 298K = -300.3354 kcal/mol
   Molecular Weight =                    560.0720 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      286.4747      -201.0215     -301.0000     333.2614      0.5723        -0.6646       
     600.0000      385.7218      -99.9772      -437.6355     562.7637      101.6166      -137.3001     
     800.0000      444.2922      -16.8362      -562.3965     681.9504      184.7576      -262.0611     
     1000.0000     493.2925      77.0989       -709.4529     786.5518      278.6927      -409.1176     
     1200.0000     531.1210      179.7333      -876.2778     880.0092      381.3271      -575.9424     
     1400.0000     557.4149      288.7756      -1060.8269    964.0018      490.3694      -760.4916     
     1600.0000     573.0506      401.9859      -1261.3168    1039.5642     603.5797      -960.9815     
     1800.0000     580.1432      517.4235      -1476.1467    1107.5390     719.0173      -1175.8113    
     2000.0000     582.0468      633.6945      -1703.8838    1168.7892     835.2883      -1403.5485    
     2200.0000     583.3545      750.1997      -1943.2799    1224.3089     951.7935      -1642.9446    
     2400.0000     589.8983      867.3826      -2193.3040    1275.2861     1068.9764     -1892.9687    
     2600.0000     608.7493      986.9768      -2453.1855    1323.1394     1188.5706     -2152.8502    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE P-NC40H81
 ====================================================================================================
   Elemental Composition:
     C 40.0000
     H 81.0000
   Formation Enthalpy at 298K =          -252.0907 kcal/mol
   Formation Free Gibbs Energy at 298K = -308.2128 kcal/mol
   Molecular Weight =                    562.0880 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      288.5574      -251.5143     -308.5914     190.2570      0.5764        -0.3786       
     600.0000      389.8093      -149.5605     -402.6288     421.7804      102.5302      -94.4160      
     800.0000      449.7592      -65.4606      -499.3301     542.3368      186.6301      -191.1172     
     1000.0000     499.8419      29.6821       -618.5990     648.2812      281.7728      -310.3862     
     1200.0000     538.4074      133.7051      -757.8977     743.0023      385.7958      -449.6849     
     1400.0000     565.2544      244.2606      -915.1636     828.1602      496.3514      -606.9508     
     1600.0000     581.6296      359.1055      -1088.5950    904.8128      611.1963      -780.3822     
     1800.0000     590.2285      476.3909      -1276.5825    973.8741      728.4816      -968.3696     
     2000.0000     595.1947      594.9515      -1477.7037    1036.3276     847.0423      -1169.4909    
     2200.0000     602.1205      714.5962      -1690.7502    1093.3392     966.6869      -1382.5374    
     2400.0000     618.0464      836.3965      -1914.7700    1146.3194     1088.4873     -1606.5572    
     2600.0000     651.4616      962.9775      -2149.1214    1196.9611     1215.0682     -1840.9085    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE P-NC40H79
 ====================================================================================================
   Elemental Composition:
     C 40.0000
     H 79.0000
   Formation Enthalpy at 298K =          -234.6947 kcal/mol
   Formation Free Gibbs Energy at 298K = -294.5451 kcal/mol
   Molecular Weight =                    560.0720 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      304.9469      -234.0855     -294.9489     202.8780      0.6092        -0.4037       
     600.0000      404.7352      -127.4963     -394.6000     445.1727      107.1984      -100.0548     
     800.0000      465.2447      -40.3761      -496.4319     570.0697      194.3186      -201.8868     
     1000.0000     516.9159      58.0103       -621.6162     679.6265      292.7050      -327.0711     
     1200.0000     557.3070      165.6363      -767.5162     777.6271      400.3309      -472.9711     
     1400.0000     584.8720      280.0761      -932.0120     865.7772      514.7708      -637.4669     
     1600.0000     598.9615      398.6847      -1113.2290    944.9461      633.3794      -818.6839     
     1800.0000     599.8221      518.7767      -1309.4276    1015.6691     753.4714      -1014.8825    
     2000.0000     588.5968      637.8058      -1518.9627    1078.3843     872.5005      -1224.4176    
     2200.0000     567.3248      753.5437      -1740.2782    1133.5554     988.2384      -1445.7330    
     2400.0000     538.9414      864.2596      -1971.9189    1181.7411     1098.9543     -1677.3738    
     2600.0000     507.2782      968.8996      -2212.5549    1223.6363     1203.5943     -1918.0097    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE P-NC40H80
 ====================================================================================================
   Elemental Composition:
     C 40.0000
     H 80.0000
   Formation Enthalpy at 298K =          -206.0256 kcal/mol
   Formation Free Gibbs Energy at 298K = -258.9720 kcal/mol
   Molecular Weight =                    561.0800 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      288.3492      -205.4495     -259.3293     179.5991      0.5760        -0.3573       
     600.0000      387.2460      -103.8928     -350.0730     410.3003      102.1327      -91.1010      
     800.0000      445.8212      -20.4530      -444.3864     529.9168      185.5726      -185.4144     
     1000.0000     495.2244      73.8222       -561.0738     634.8960      279.8477      -302.1018     
     1200.0000     533.6661      176.9040      -697.6074     728.7595      382.9296      -438.6354     
     1400.0000     560.2715      286.4975      -851.9493     813.1763      492.5231      -592.9773     
     1600.0000     575.0796      400.2241      -1022.3113    889.0846      606.2496      -763.3393     
